,State,City,Population,Total_law_enforcement_employees,Total_crime,employees_perCapita,crime_perCapita
564,CONNECTICUT,Vernon,29423.0,57,376.0,0.0019372599666927235,0.01277911837678007
565,CONNECTICUT,Wallingford,43969.0,87,301.0,0.0019786667879642477,0.0068457322204280285
566,CONNECTICUT,Waterbury,106480.0,319,3678.0,0.0029958677685950415,0.034541697971450035
567,CONNECTICUT,Waterford,18803.0,60,206.0,0.003190980162739988,0.010955698558740627
568,CONNECTICUT,Watertown,21418.0,49,324.0,0.002287795312354095,0.0151274628816883
569,CONNECTICUT,West Hartford,62809.0,144,1631.0,0.00229266506392396,0.025967616105972074
570,CONNECTICUT,West Haven,54248.0,126,1379.0,0.0023226662734110014,0.025420291992331513
571,CONNECTICUT,Weston,10204.0,18,13.0,0.0017640141121128968,0.0012740101920815366
572,CONNECTICUT,Westport,28652.0,71,371.0,0.0024780120061426774,0.012948485271534273
573,CONNECTICUT,Wethersfield,25807.0,54,506.0,0.0020924555353198744,0.019607083349478825
574,CONNECTICUT,Willimantic,17763.0,48,125.0,0.0027022462421888195,0.007037099589033384
575,CONNECTICUT,Wilton,18236.0,45,123.0,0.002467646413687212,0.006744900197411713
576,CONNECTICUT,Winchester,10481.0,21,83.0,0.0020036256082434883,0.007919091689724263
577,CONNECTICUT,Windsor,28601.0,57,626.0,0.00199293730988427,0.021887346596272856
578,CONNECTICUT,Windsor Locks,12828.0,34,173.0,0.0026504521359526035,0.013486124103523543
579,CONNECTICUT,Wolcott,16550.0,37,278.0,0.0022356495468277946,0.016797583081570998
580,CONNECTICUT,Woodbridge,8676.0,31,105.0,0.003573075149838635,0.012102351313969572
581,DELAWARE,Blades,1526.0,2,14.0,0.001310615989515072,0.009174311926605505
582,DELAWARE,Bridgeville,2487.0,8,34.0,0.003216726980297547,0.013671089666264576
584,DELAWARE,Cheswold,1787.0,4,40.0,0.002238388360380526,0.02238388360380526
585,DELAWARE,Clayton,3707.0,10,28.0,0.002697599136768276,0.007553277582951173
586,DELAWARE,Dagsboro,973.0,4,20.0,0.0041109969167523125,0.020554984583761562
587,DELAWARE,Delaware City,1852.0,4,33.0,0.0021598272138228943,0.017818574514038878
590,DELAWARE,Dover,38439.0,133,1875.0,0.0034600275761596296,0.04877858425037072
591,DELAWARE,Ellendale,457.0,1,13.0,0.002188183807439825,0.028446389496717725
592,DELAWARE,Elsmere,5741.0,13,135.0,0.0022644138651802823,0.023515067061487545
593,DELAWARE,Felton,1447.0,4,12.0,0.0027643400138217,0.0082930200414651
595,DELAWARE,Frederica,869.0,2,4.0,0.0023014959723820483,0.004602991944764097
596,DELAWARE,Georgetown,7945.0,19,317.0,0.0023914411579609818,0.039899307740717434
597,DELAWARE,Greenwood,1197.0,4,15.0,0.003341687552213868,0.012531328320802004
598,DELAWARE,Harrington,3672.0,13,113.0,0.003540305010893246,0.030773420479302833
599,DELAWARE,Laurel,4595.0,19,211.0,0.004134929270946681,0.04591947769314472
600,DELAWARE,Lewes,3479.0,12,49.0,0.0034492670307559644,0.014084507042253521
601,DELAWARE,Middletown,24307.0,43,510.0,0.001769037725758012,0.02098161023573456
602,DELAWARE,Milford,12582.0,44,472.0,0.0034970592910507073,0.03751390875854395
603,DELAWARE,Millsboro,4753.0,19,198.0,0.003997475278771302,0.04165790027351147
604,DELAWARE,Milton,3189.0,9,43.0,0.0028222013170272815,0.013483850736908122
605,DELAWARE,Newark,34064.0,87,729.0,0.0025540159699389384,0.021400892437764208
606,DELAWARE,New Castle,5419.0,17,189.0,0.003137110167927662,0.03487728363166636
611,DELAWARE,Smyrna,12383.0,36,356.0,0.0029072114996365984,0.028749091496406365
614,DELAWARE,Wyoming,1695.0,3,29.0,0.0017699115044247787,0.01710914454277286
615,GEORGIA,Acworth,22956.0,68,344.0,0.0029621885345879075,0.014985189057327061
616,GEORGIA,Adairsville,5094.0,18,114.0,0.0035335689045936395,0.02237926972909305
617,GEORGIA,Alapaha,673.0,2,5.0,0.0029717682020802376,0.007429420505200594
620,GEORGIA,Alpharetta,68954.0,132,914.0,0.001914319691388462,0.013255213620674652
622,GEORGIA,Arcade,2064.0,4,46.0,0.001937984496124031,0.022286821705426358
623,GEORGIA,Athens-Clarke County,127410.0,270,4271.0,0.0021191429244172355,0.03352170159328153
626,GEORGIA,Ball Ground,2414.0,5,10.0,0.002071251035625518,0.004142502071251036
627,GEORGIA,Barnesville,6660.0,20,27.0,0.003003003003003003,0.004054054054054054
632,GEORGIA,Blakely,4439.0,18,138.0,0.004054967334985357,0.031088082901554404
634,GEORGIA,Blythe,698.0,1,0.0,0.0014326647564469914,0.0
635,GEORGIA,Boston,1313.0,5,14.0,0.003808073115003808,0.010662604722010662
636,GEORGIA,Bowdon,2096.0,8,38.0,0.003816793893129771,0.01812977099236641
637,GEORGIA,Braselton,14568.0,20,120.0,0.0013728720483250961,0.008237232289950576
639,GEORGIA,Bremen,6880.0,19,149.0,0.002761627906976744,0.021656976744186048
640,GEORGIA,Brookhaven,56770.0,88,1686.0,0.0015501144970935354,0.029698784569314778
643,GEORGIA,Cairo,9269.0,26,268.0,0.002805049088359046,0.028913582910777863
644,GEORGIA,Calhoun,17719.0,51,407.0,0.0028782662678480727,0.022969693549297364
645,GEORGIA,Camilla,4907.0,22,114.0,0.004483391073975953,0.023232117383329937
646,GEORGIA,Canton,33386.0,56,311.0,0.0016773497873360092,0.009315281854669621
647,GEORGIA,Carrollton,27786.0,87,1081.0,0.0031310732023321097,0.0389044842726553
648,GEORGIA,Cartersville,22276.0,51,765.0,0.0022894595079906628,0.03434189261985994
649,GEORGIA,Cave Spring,1065.0,3,16.0,0.0028169014084507044,0.015023474178403756
650,GEORGIA,Cedartown,9999.0,35,388.0,0.0035003500350035003,0.0388038803880388
651,GEORGIA,Centerville,8082.0,18,109.0,0.0022271714922048997,0.013486760702796337
652,GEORGIA,Chamblee,31254.0,78,1384.0,0.00249568055288923,0.04428233186152172
653,GEORGIA,Chatsworth,4246.0,18,41.0,0.004239284032030146,0.009656146961846444
654,GEORGIA,Chickamauga,3235.0,5,28.0,0.0015455950540958269,0.00865533230293663
655,GEORGIA,Clarkston,12677.0,15,328.0,0.0011832452472982566,0.025873629407588545
658,GEORGIA,Cleveland,4246.0,17,97.0,0.004003768252472915,0.022845030617051343
659,GEORGIA,Cochran,5013.0,10,88.0,0.001994813484939158,0.017554358667464593
660,GEORGIA,Cohutta,644.0,3,10.0,0.004658385093167702,0.015527950310559006
662,GEORGIA,Coolidge,523.0,2,9.0,0.0038240917782026767,0.017208413001912046
663,GEORGIA,Cordele,10223.0,32,500.0,0.0031301966154749093,0.04890932211679546
664,GEORGIA,Covington,14517.0,64,499.0,0.004408624371426603,0.0343734931459668
665,GEORGIA,Dallas,14704.0,36,161.0,0.0024483133841131663,0.010949401523394995
666,GEORGIA,Dalton,33389.0,93,774.0,0.0027853484680583425,0.02318128725029201
669,GEORGIA,Dawson,4076.0,11,82.0,0.0026987242394504417,0.020117762512266928
670,GEORGIA,Decatur,26350.0,50,651.0,0.0018975332068311196,0.024705882352941175
672,GEORGIA,Donalsonville,2471.0,12,26.0,0.004856333468231485,0.010522055847834885
674,GEORGIA,Douglas,11606.0,40,82.0,0.0034464931931759437,0.007065311046010684
676,GEORGIA,Duluth,29986.0,76,406.0,0.002534516107516841,0.013539651837524178
677,GEORGIA,Dunwoody ,49621.0,66,1499.0,0.001330082021724673,0.030208984099474014
680,GEORGIA,Edison,1394.0,5,4.0,0.003586800573888092,0.0028694404591104736
